game_key,Project Name,Env Created,Engagement Type,Engagement Area Position X,Engagement Area Position Y,Engagement Area Size X,Engagement Area Size Y,Perceived Engagement Area Position X,Perceived Engagement Area Position Y,Perceived Engagement Area Size X,Perceived Engagement Area Size Y,Triggerzone Position X,Triggerzone Position Y,Triggerzone Size X,Triggerzone Size Y,Clickthrough,Clickthrough Area Position X,Clickthrough Area Position Y,Clickthrough Area Size X,Clickthrough Area Size Y,Perceived Clickthrough Area Position X,Perceived Clickthrough Area Position Y,Perceived Clickthrough Area Size X,Perceived Clickthrough Area Size Y,Adunit Size X,Adunit Size Y,Count,engagement,click_through
fa2e1a47b86688a7c85ed26cb50ea48d/f8fb71636ab41180e3bb,Battlefield V - AVAILABLE NOW - MPU - 1,production,"drag,collide,click",0.0,0.0,600.0,500.0,,,,,0.0,-600.0,600.0,500.0,True,0.0,0.0,600.0,500.0,0.0,500.0,600.0,500.0,600.0,500.0,"723,960","136,450","4,106"
faf628564c645689b14a3c334e4e0464/5f471aba371a2e12ccf0,bf5-rebuild-1-amended-copy-copy-imported,staging,"click,collide,slide",18.0,177.0,565.0,723.0,,,,,0.0,-786.0,600.0,900.0,True,0.0,0.0,243.0,74.0,178.0,678.0,243.0,74.0,600.0,900.0,"139,704","4,150",180
fafa3bdba6bd3aaffc19dad902c26a40/9a4eaf8ae209bed3d4f2,Estee Lauder - SC1 - FR - MOB,production,tap,0.0,0.0,600.0,900.0,0.0,0.0,600.0,900.0,,,,,,,,,,,,,,600.0,900.0,"6,660","1,002",0
fb1989ea82ca0d9007240296ca01f0df/a70a885f668c42a87195,IBM Cloud Africa - Coffee MPU,testing,"click,tap",0.0,0.0,300.0,250.0,0.0,0.0,300.0,250.0,,,,,True,0.0,0.0,152.0,55.0,80.0,86.0,152.0,55.0,300.0,250.0,,,
fc08d689d916ea9c0e62524e8cf4e6e8/1c4de904b2df0a1b75b5,Adludio Prize Draw,production,"click,shake",,,,,,,,,,,,,True,0.0,0.0,560.0,100.0,20.0,780.0,560.0,100.0,600.0,900.0,,,
fc8886e58b377f70d73d2a13ed13df15/c9063927770275e4b646,COOP - Christmas - Crack - MOB,staging,"click,tap",0.0,0.0,600.0,900.0,0.0,0.0,600.0,900.0,,,,,True,0.0,0.0,560.0,100.0,20.0,780.0,560.0,100.0,600.0,900.0,,,
fc92709296ff46fc4001f675c07dfbf8/17720060d4e219b91860,DKNY - Be Delicious - Dubai - MOB,staging,"drag,collide",0.0,0.0,597.0,896.0,,,,,690.0,0.0,600.0,900.0,,,,,,,,,,600.0,900.0,"60,077","8,984",0
fc9d092fca1d336918cc4c8ba76c246f/1dd49adcc2ad41625d87,Network Rail - Christmas Intoxication - ENG - Blue Shirt,production,"drag,collide",-430.0,0.0,1628.0,1010.0,,,,,1240.0,0.0,600.0,900.0,,,,,,,,,,600.0,900.0,"762,153","157,307",0
fcae44bd6bd299ca6a0ae142e53096da/0ce2c470633f78a9a852,MAC-Destination-Fabulous-Fullscreen-ENG+ARABIC-DUBAI,testing,"drag,collide",0.0,139.0,597.0,763.0,,,,,0.0,-870.0,600.0,900.0,,,,,,,,,,600.0,900.0,"31,050","5,033",0
fcd5b30312949bd13a42e9d3047c9449/4195f8b24c227ad2bc4f,Huawei StorySign - MPU - Portuguese,staging,"click,drag,collide",0.0,0.0,600.0,604.0,,,,,0.0,-560.0,600.0,500.0,True,0.0,0.0,600.0,500.0,0.0,0.0,600.0,500.0,600.0,500.0,"249,636","66,791","44,422"
fcf863751eb27836736d3a332f85b2f6/79cd63ca54630914c909,Three Mobile - 5G Broadband - Creative 1 - SOCIAL,production,"click,drag,collide",9.0,12.0,1057.0,1903.0,,,,,0.0,-2030.0,1080.0,1920.0,True,0.0,0.0,493.0,127.0,291.0,1357.0,493.0,127.0,1080.0,1920.0,,,
fd09964a68e46229f79d962bd01c7d81/e5d6bfc98014b7acadc5,Robin Hood - REVOLUTION - MPU,testing,"tap,click",0.0,0.0,600.0,500.0,0.0,0.0,600.0,500.0,,,,,True,0.0,0.0,441.0,57.0,80.0,431.0,441.0,57.0,600.0,500.0,"25,672","6,939","2,173"
fd17ed63a8840b05e321104ff663d79d/b0dd6dc531bc882ed740,JW Marriott - Treatment - Cake MPU - ENG,staging,"click,tap-and-hold",0.0,0.0,600.0,500.0,,,,,,,,,True,0.0,0.0,600.0,500.0,0.0,500.0,600.0,500.0,600.0,500.0,"610,259","78,735","14,833"
